uid,max_diff
6XnSXLX5,66.67274475097656
AQmKxV3m,71.64327239990234
Zr-wkyVv,74.03504180908203
OkV2COYq,79.99195861816406
EoFy1t_b,64.37521362304688
txRx0jUY,73.57755279541016
rH6V_JxK,74.4607925415039
3FMZztFu,68.76266479492188
4ZquiBCy,77.10670471191406
V0J68ThE,70.71149444580078
l2wWJGQu,70.7005844116211
0rDIUJV9,76.98078155517578
NqEE02yo,68.63570404052734
yInCr3EF,79.18390655517578
DAmCeStL,77.35331726074219
OYLlSjme,76.16859436035156
JCS1ZGsb,75.36480712890625
ZYxcT4cR,76.03370666503906
1wnQlVBo,68.87865447998047
cr0Z_MSm,74.20500946044922
tIYIVjv9,67.88915252685547
yaWJ3YVj,77.898193359375
2yhkFRcj,74.70443725585938
Y4FW1e4a,76.97311401367188
8xq2toLl,67.95988464355469
odG3v59M,67.34783172607422
Dydeunq-,81.2074203491211
8CbGs4xE,71.88109588623047
LAUVDVAg,74.01858520507812
TkjxHnBz,76.56917572021484
efcD39fB,66.09568786621094
Sbja52F-,72.57183074951172
Sxbghjz_,71.28665924072266
WEs6wl1Q,75.82420349121094
Z8iurjB-,72.89907836914062
i5lVGUxg,67.48611450195312
gQO8CWhg,74.52836608886719
ajODGD9o,72.52339172363281
_y_1oDLv,73.66838073730469
MBySinCG,73.1667251586914
Zl_7FsA1,76.65419006347656
sWgVJwqY,74.59489440917969
Wm19EdR_,77.48175048828125
mxNsgK5H,76.09659576416016
n6vpjcQ2,67.15711975097656
RhXb2wq1,68.75521087646484
D3iFUxAl,74.12641143798828
q8qnewcd,68.40620422363281
d-h4O7n6,67.6277847290039
8NoS7Yds,78.97708129882812
b2y_XObx,69.42669677734375
PvZSPDXt,78.33106231689453
N2EtNygr,65.25568389892578
Vb_8_g17,71.14464569091797
B6RtQLgs,71.9386978149414
W9pvnuig,78.69520568847656
_wYlbjQ-,80.4672622680664
vNWgk2hp,72.68511199951172
l8imirDz,72.76202392578125
SFduoZAR,74.47737884521484
x2TpQJ4T,79.5552978515625
ZFtj8j4p,74.96792602539062
poQ-sYm3,74.43675231933594
g2KCZZO6,75.21568298339844
TsIjjEpX,78.49665069580078
iyO1kOr0,74.69656372070312
EuYVMoMe,70.03765106201172
h_Lgdd1s,71.6493911743164
TO3T0hZS,66.78701782226562
faORqPfl,78.72183990478516
y-u7HSH7,77.06008911132812
W-ojKauz,64.71770477294922
NN1UHzeQ,71.28266906738281
k2xFAqzy,73.67024230957031
gy2YNgl4,75.64387512207031
_Z7RF2Pk,67.62735748291016
3QV7W4d1,75.16046905517578
kIgD--67,79.12006378173828
WKoT90OG,68.97891235351562
MBnftP80,70.88861846923828
d5q9B8Mv,78.3753662109375
u7vPQZyY,69.59687805175781
N3ZP4vB6,74.72313690185547
jWUpY2U4,70.17403411865234
CkI1RWzV,77.32939910888672
_me9eA6h,69.98866271972656
4veOH2QL,73.76252746582031
os1Sf8EA,76.18163299560547
bZFI_jyk,70.11870574951172
AjTfmF11,78.16429901123047
1rcag28t,77.8609619140625
NTL6g_dn,74.73587036132812
I75v8dvo,74.66532135009766
ruPMsF2W,79.4229965209961
IyLRm99I,74.0146255493164
mtu2M5V4,72.67252349853516
0E8rI1Vv,75.87191009521484
_E0IOShw,75.33976745605469
Jj50u31j,75.95562744140625
yohYg_ui,71.90416717529297
0gtNQfvw,78.0223388671875
s_vFxo91,74.47451782226562
v2aZK9Vv,77.35941314697266
VTvmeG-i,72.07402038574219
Ba5fFZGu,71.33486938476562
uBIhExls,68.85383605957031
_oHgezTZ,63.70170211791992
i_cJTkLP,67.23303985595703
G0W2ZuXI,79.61238098144531
EkZZlGCx,77.82758331298828
Cll8Bdl-,69.55235290527344
toZsiHEr,77.86958312988281
xOxsaWhw,77.2986068725586
kLPl7aeH,74.88774108886719
JZyR-ghO,81.4769058227539
csXrKvG_,75.26457214355469
6R5SVE8U,77.80268859863281
jf1UtvVX,66.28082275390625
WWAXvYlw,68.87229919433594
JEwXme_P,81.00635528564453
ccXqwISJ,69.24754333496094
RDqwGBfQ,74.11890411376953
2Y39xFJy,67.2750473022461
L8YKC6u_,73.56678771972656
ghJ6zOXW,74.17131805419922
hnqHHgcE,65.6456298828125
KbCBuL0n,68.2624282836914
8-QDloTX,73.8369140625
NSBAczVj,65.01091003417969
