uid,lpips_diff
6XnSXLX5,0.4624863862991333
AQmKxV3m,0.40890610218048096
Zr-wkyVv,0.38930779695510864
OkV2COYq,0.37326061725616455
EoFy1t_b,0.19266203045845032
txRx0jUY,0.25702983140945435
rH6V_JxK,0.33129751682281494
3FMZztFu,0.5366231203079224
4ZquiBCy,0.3125274181365967
V0J68ThE,0.5456839203834534
l2wWJGQu,0.41969361901283264
0rDIUJV9,0.2682862877845764
NqEE02yo,0.5787796974182129
yInCr3EF,0.4888816773891449
DAmCeStL,0.5723329782485962
OYLlSjme,0.5730414986610413
JCS1ZGsb,0.44204673171043396
ZYxcT4cR,0.5951291918754578
1wnQlVBo,0.5090085864067078
cr0Z_MSm,0.3627395033836365
tIYIVjv9,0.4945603609085083
yaWJ3YVj,0.21173802018165588
2yhkFRcj,0.22215430438518524
Y4FW1e4a,0.5108643770217896
8xq2toLl,0.4594944715499878
odG3v59M,0.31728488206863403
Dydeunq-,0.40167877078056335
8CbGs4xE,0.505972683429718
LAUVDVAg,0.48125672340393066
TkjxHnBz,0.6318028569221497
efcD39fB,0.32545050978660583
Sbja52F-,0.4796115756034851
Sxbghjz_,0.37777772545814514
WEs6wl1Q,0.4222382605075836
Z8iurjB-,0.3771182596683502
i5lVGUxg,0.42539137601852417
gQO8CWhg,0.4433053731918335
ajODGD9o,0.41300591826438904
_y_1oDLv,0.6101278066635132
MBySinCG,0.48030582070350647
Zl_7FsA1,0.44248998165130615
sWgVJwqY,0.23016239702701569
Wm19EdR_,0.6266288161277771
mxNsgK5H,0.5052022337913513
n6vpjcQ2,0.4723096191883087
RhXb2wq1,0.2646557688713074
D3iFUxAl,0.38779324293136597
q8qnewcd,0.48204776644706726
d-h4O7n6,0.36467233300209045
8NoS7Yds,0.33139824867248535
b2y_XObx,0.4496501088142395
PvZSPDXt,0.2731901705265045
N2EtNygr,0.3944059908390045
Vb_8_g17,0.40648382902145386
B6RtQLgs,0.27802932262420654
W9pvnuig,0.24352192878723145
_wYlbjQ-,0.4177224934101105
vNWgk2hp,0.35927388072013855
l8imirDz,0.5506632924079895
SFduoZAR,0.41390854120254517
x2TpQJ4T,0.6733261942863464
ZFtj8j4p,0.44264912605285645
poQ-sYm3,0.25250503420829773
g2KCZZO6,0.24603837728500366
TsIjjEpX,0.3329188823699951
iyO1kOr0,0.3576086163520813
EuYVMoMe,0.31214094161987305
h_Lgdd1s,0.480387419462204
TO3T0hZS,0.4011022448539734
faORqPfl,0.45002931356430054
y-u7HSH7,0.6050596237182617
W-ojKauz,0.3621462285518646
NN1UHzeQ,0.47757062315940857
k2xFAqzy,0.44032374024391174
gy2YNgl4,0.37385252118110657
_Z7RF2Pk,0.2868868112564087
3QV7W4d1,0.31801822781562805
kIgD--67,0.5767375826835632
WKoT90OG,0.41158223152160645
MBnftP80,0.5471903681755066
d5q9B8Mv,0.5829766988754272
u7vPQZyY,0.5926526784896851
N3ZP4vB6,0.4362483620643616
jWUpY2U4,0.4883187711238861
CkI1RWzV,0.5098851323127747
_me9eA6h,0.4580250680446625
4veOH2QL,0.41981419920921326
os1Sf8EA,0.5104281902313232
bZFI_jyk,0.27873876690864563
AjTfmF11,0.3168664574623108
1rcag28t,0.3039422333240509
NTL6g_dn,0.336803674697876
I75v8dvo,0.3726247549057007
ruPMsF2W,0.5096250772476196
IyLRm99I,0.4311031699180603
mtu2M5V4,0.4598456025123596
0E8rI1Vv,0.34017759561538696
_E0IOShw,0.35892724990844727
Jj50u31j,0.6836941838264465
yohYg_ui,0.3458232581615448
0gtNQfvw,0.3919743299484253
s_vFxo91,0.52179354429245
